epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4548611044883728,1.44903564453125,0.001,0.3888888955116272,1.595097303390503
1,0.7118055820465088,0.7166076898574829,0.001,0.5,1.4263300895690918
2,0.875,0.41465485095977783,0.001,0.6388888955116272,1.2624255418777466
3,0.9270833134651184,0.25577419996261597,0.001,0.8333333134651184,1.0639539957046509
4,0.9652777910232544,0.1753702312707901,0.001,0.9166666865348816,0.909808874130249
5,0.9826388955116272,0.1121407076716423,0.001,0.9166666865348816,0.7631030082702637
6,0.9791666865348816,0.094930499792099,0.001,0.9444444179534912,0.6525955200195312
7,0.9861111044883728,0.08169766515493393,0.001,0.9444444179534912,0.5642046332359314
8,0.9965277910232544,0.05021141469478607,0.001,0.9444444179534912,0.47837400436401367
9,0.9930555820465088,0.04526568204164505,0.001,0.9444444179534912,0.41963842511177063
10,1.0,0.042116206139326096,0.001,0.9722222089767456,0.39503008127212524
11,0.9930555820465088,0.034145668148994446,0.001,0.9722222089767456,0.32463783025741577
12,1.0,0.027363190427422523,0.001,1.0,0.2628011405467987
13,0.9965277910232544,0.02404511347413063,0.001,1.0,0.22869904339313507
14,0.9965277910232544,0.019471921026706696,0.001,1.0,0.1982060968875885
15,0.9930555820465088,0.03501830995082855,0.001,0.9722222089767456,0.27361273765563965
16,1.0,0.021642230451107025,0.001,1.0,0.13810628652572632
17,1.0,0.01821027882397175,0.001,1.0,0.11290618777275085
18,0.9965277910232544,0.023340517655014992,0.001,1.0,0.08689430356025696
19,0.9965277910232544,0.023053785786032677,0.001,1.0,0.06517931073904037
20,1.0,0.012938226573169231,0.001,1.0,0.051265280693769455
21,1.0,0.008785316720604897,0.001,1.0,0.04188500717282295
22,1.0,0.009077676571905613,0.001,1.0,0.03922514244914055
